height,shift,merit,gaplen,difficulty,time_utc,adder,startprime
7308,25,32.922115,6396,22.419310,2014-11-02 16:59:54,31380503,2362114383441832500322011387943037977164194150997773091406607778787608479543714567191
9877,24,31.613721,6114,22.536923,2014-11-07 00:20:19,12811961,980089366681881147959473218252144159191361852510077987711125331173162691855573548729
10344,20,30.139942,5756,22.403990,2014-11-07 20:05:07,4091,87044522570808254690133861272401276365433809832261059552625715908845913803551936507
13348,64,30.070859,6662,22.481791,2014-11-12 19:30:43,12787375,1640857347850912224277732157826100166913263833086215520512882116908800114422694502890374313483951
14487,25,30.265846,5884,23.517067,2014-11-14 11:12:25,9339929,2700422459835359371730825097455645470279032415634704749142332961760400035900942091289
14738,64,33.322810,7384,23.592277,2014-11-14 21:44:19,124519027,1719070901587658153396041806214119371074070897051116481625046464677216472312312432816588367594099
15724,64,30.542654,6760,23.453365,2014-11-16 14:14:21,39922467,1325314215403732093075455102651464804737099252120284848431614806047476699723840701872402713357091
16197,20,30.380075,5796,23.405694,2014-11-17 08:56:32,641487,71775677409583070101969585804743612991344689054629956384773124001057390443731995087
18103,25,31.366571,6100,23.366916,2014-11-20 11:37:53,4146259,2878899419627183790884110759420141803560355720895312720118521707785759130834052269139
19026,25,30.550817,5942,24.048254,2014-11-21 20:00:03,25758047,2940182267493010409048829173189627891456943621230755831814208057000151674872553605471
19154,25,30.831539,5990,23.902308,2014-11-22 01:33:48,2033203,2373645487937610647630228123905335748818561674890215028517953028524898950915735619123
20213,25,31.144794,6058,24.253948,2014-11-23 17:36:14,5287321,2985278217978472334738056906477521460050544881788501611375185329497262518558537067929
20959,25,32.788783,6382,24.289790,2014-11-24 21:56:59,27689883,3395966724351934369903260747780789668707583057792736565103179296737321854001429775259
21040,25,31.439715,6118,24.203260,2014-11-25 01:26:16,925575,3246225795486984119979120840918610947366858245248162007595857395446671723518676049799
21352,25,30.488065,5928,24.284343,2014-11-25 12:58:55,32429833,2772065364385107410276853518466928671827605912164607203753139067547175676110173034249
21502,25,30.528623,5926,24.319165,2014-11-25 18:27:39,16248703,2005246683632224615607420000790292117741611887120654826485675436646373004977529941887
21533,25,31.684083,6154,24.379377,2014-11-25 19:23:44,31053435,2254363575875145299942171393941944978106339026844778843949427012273448200607459038843
21746,25,30.912307,6020,24.101692,2014-11-26 05:03:37,1243559,3770824234544213106283021247938003753731781660784481232430794364092760898489866713511
21970,25,30.038108,5832,24.322626,2014-11-26 12:20:26,25521993,2088035308765005643013522005277606553042985409315569933245269170845429221371180052297
22368,25,30.764177,5992,24.063451,2014-11-27 04:47:06,5586405,3876152566301659805595458250060778601124239408973721420466090183985288788002899049957
24561,25,30.341041,5894,24.530801,2014-11-30 14:05:53,15726213,2319108175989998943855062907323083636808456860943141705699773365276828612069111625349
24566,25,31.003528,6024,24.538681,2014-11-30 14:13:17,2020825,2418920428957387546970272728854338641184630956556048379032316838744709772690822452697
24590,25,31.058913,6042,24.594633,2014-11-30 14:53:08,19360285,3053778915963619547775927162637062866216023300619964856316227574871480851324660574749
24775,25,30.427755,5922,24.583552,2014-11-30 22:01:42,31632063,3346080228885547741820465330467361106390706191829704223340980103907571487947467434687
24927,25,31.896955,6206,24.236209,2014-12-01 05:43:49,13098803,3148349445561434175249602953388114435765250663306941280953422061181635699167703064371
24956,25,30.730200,5982,24.187147,2014-12-01 07:02:35,23490639,3472177791431285388629401910877966104378185965868674266100180581855157341210951446607
25544,25,30.000388,5832,24.360136,2014-12-02 04:21:39,6019437,2665353819359300228672097858392156384802214183823661044058447971613784833360928692589
25709,25,31.305375,6078,24.483337,2014-12-02 09:45:21,32998363,2085096870735499498404818891034662765203147394782751590726542266546841613540043228123
26064,25,30.019342,5832,24.764394,2014-12-02 21:55:10,13535799,2357484704990628466765636577334158344102480241279578948485026820109898406278982437431
26225,25,30.331831,5906,24.432412,2014-12-03 06:00:57,7051315,3653897121352818511923892751316512320091094336410782121652652780685440219997035796531
27047,25,31.557157,6138,24.521359,2014-12-04 12:45:31,16552911,2965563793864512694445972701150928562466097419755590462196272855593372000552566428623
27769,25,31.947953,6220,24.689220,2014-12-05 15:40:44,30261203,3576963326268688741371715490932237287278942770058349602052323165559412666301644914643
27819,25,30.801864,5984,24.759338,2014-12-05 17:15:08,21537317,2355631272008848566660188851384034659348666009959393850471213736930776906336066642469
28074,25,30.814594,6000,24.588548,2014-12-06 03:44:09,13578923,3653857168316921599810626284134049321606109870134123747175960491853082149648272929451
28592,32,33.083536,6602,24.714713,2014-12-06 22:33:46,411109793,463268274391603981983735722453098062453905910312204314812234413057440373576534679685537
29389,25,31.418898,6118,24.413844,2014-12-08 06:09:54,5010749,3692931600700791497615405405128654999083378328629615031794084506128348531012211078461
29703,25,31.192286,6062,24.691070,2014-12-08 16:32:58,28005935,2523821653220319596472013264984644706366645905150128894632501976835044234806824752687
29857,25,30.479607,5934,24.680313,2014-12-08 22:22:29,4639167,3562288357412743091405048984659306558718883470293217633051514503453577832993447659967
29898,32,32.772981,6528,24.549566,2014-12-09 00:32:29,2758442409,320963126187563325800868292403702560291705014280695804929219895522691009234975467404713
30143,25,31.214219,6072,24.498402,2014-12-09 10:08:50,5272071,3033101017757875760521345614255309866672181239684503653642538178871089322969407713799
30577,25,30.831101,5994,24.304385,2014-12-10 03:17:07,18093781,2709935834706441796507005158324310214807415055072986265381972211591924750827776120533
30663,25,30.596966,5958,24.290693,2014-12-10 06:38:05,14477589,3698929913671066912239208937789353195933248561285098184862387194963312351959207176469
30692,25,32.001831,6228,24.319754,2014-12-10 07:41:59,27929705,3309238514465677076764906639151091706761502358261335816975245842385287809825151528041
31550,25,31.247644,6086,24.352016,2014-12-11 16:12:12,26766883,3855625318832928969895238286672260851434755084154186934727642058144991591044721700387
32063,25,32.584630,6340,24.285849,2014-12-12 12:25:05,29099547,3168040814566558898446213663665977656652280987388937721568213802933445143049304540699
32950,25,30.184496,5878,24.525567,2014-12-13 21:19:33,1623877,3738139537918529561470139740601283677417681181525274130275350148855865813255780353861
33184,25,31.530558,6138,24.188212,2014-12-14 08:00:42,31680915,3494347147783681802397996900846297707209529155272350540510803505026664360202201164179
33517,25,31.442204,6114,24.650649,2014-12-14 18:30:44,4134243,2814730928583837176113813352557095948209632477669759192861273166625824766079281337699
33677,25,30.910176,6006,24.187523,2014-12-15 03:08:02,17154357,2429772353984880009286712301551603180350765325240204398820929604113571983191374676277
33922,25,31.777407,6174,24.267556,2014-12-15 12:13:12,32405635,2391281581032638587383979977144988542392370874708409267708656524837486859946835212419
34230,25,30.639099,5954,24.424910,2014-12-15 23:08:42,8128043,2483622229632182295194267118683808296385216807607112577838148997206496120195402958379
34457,32,30.069719,5998,24.192308,2014-12-16 08:53:42,2898114755,425226959391522442787371563560243459157324836889115699205374074571744660539315175930051
34592,25,30.355243,5898,24.336467,2014-12-16 13:21:47,18787663,2415898642137386770964158534991842930487842551284351309466695618125883328958245547343
34832,25,32.219569,6270,24.383631,2014-12-16 22:30:57,29762595,3270964771868759514958394375845505815558176652079670854139757695302343035708600886307
35257,25,30.491338,5934,24.190629,2014-12-17 15:44:40,18007821,3305199728645219442386193702025315270419312142822546109862407947971177125788798600973
37086,32,30.610248,6108,23.758613,2014-12-20 15:51:35,3533638063,456627145473768509606347488730526964231198904731619026757803886926656472379664902326703
37421,25,31.441975,6104,23.519225,2014-12-21 06:37:14,25373507,2050817683981203028429356627920595391321785921854102135615441696261401911785681005379
38867,25,30.843704,5990,23.506067,2014-12-23 14:25:17,15212375,2198563164787774983097302295179824244389462925766524786816824301282242650566967172951
39229,25,33.489124,6512,23.238503,2014-12-24 05:50:18,18144599,2812402497073977743020636535223217439275742836018726694405458809004161229459920575831
39276,25,30.094031,5842,23.286232,2014-12-24 07:25:19,14346751,2029372559579310602844839751066604189259552058932109602843171030331473973994229262847
39571,25,31.055993,6030,23.659346,2014-12-24 16:51:21,23125387,2113350644211590427860926802869276060171054451512985633827897831899254975295333129611
41505,25,30.597133,5950,24.523062,2014-12-27 14:04:43,17231771,2844868189850670267187782381142394724613278583777737961060785411328875163540519317403
41800,32,30.365465,6060,24.409526,2014-12-28 01:49:08,148969119,469501363378673069917987771335958882518548338124654269008588234606650830684986091312799
41994,25,30.039031,5850,24.462223,2014-12-28 09:12:47,7554393,3779079409016858083691306933151128158556078604797858197888533993021974241943164765529
42132,25,33.270068,6462,24.642302,2014-12-28 13:41:04,6602653,2251254518045054218520967202663815703866269494211308564741520032415327841464082546589
42211,25,30.263854,5880,24.675475,2014-12-28 16:24:36,8403477,2396559457482216802218442469240358358085773886766878960663210358221142897318514670101
42222,25,31.193822,6066,24.706073,2014-12-28 16:34:41,33187955,2841787783050247899888878225421667957279242885004595338915610925647914764088597178483
42965,25,31.045190,6030,24.698472,2014-12-29 20:35:07,26209809,2261075670255040933564322628883101990914255099219559089339201060975965192891963272721
